Date;Open;High;Low;Close;Adj Close;Volume
01.12.2021;1.133003;1.135847;1.130416;1.133029;1.133029;0
02.12.2021;1.131964;1.134816;1.130186;1.131952;1.131952;0
03.12.2021;1.130684;1.133183;1.126735;1.130621;1.130621;0
06.12.2021;1.130263;1.131;1.1269;1.13048;1.13048;0
07.12.2021;1.128452;1.129943;1.123129;1.128668;1.128668;0
08.12.2021;1.127307;1.133903;1.126964;1.12765;1.12765;0
09.12.2021;1.134404;1.134559;1.127943;1.134559;1.134559;0
10.12.2021;1.129408;1.132259;1.126735;1.129331;1.129331;0
13.12.2021;1.131119;1.131606;1.126354;1.131183;1.131183;0
14.12.2021;1.128337;1.132759;1.126659;1.128541;1.128541;0
15.12.2021;1.125873;1.1278;1.124923;1.126126;1.126126;0
16.12.2021;1.129305;1.136364;1.12821;1.129076;1.129076;0
17.12.2021;1.133543;1.134906;1.126837;1.133414;1.133414;0
20.12.2021;1.124252;1.130454;1.123734;1.124354;1.124354;0
21.12.2021;1.127675;1.130327;1.126177;1.127752;1.127752;0
22.12.2021;1.12905;1.1342;1.126532;1.128757;1.128757;0
23.12.2021;1.133016;1.134559;1.129152;1.132888;1.132888;0
24.12.2021;1.132464;1.13443;1.130838;1.132734;1.132734;0
27.12.2021;1.132387;1.1335;1.130416;1.132426;1.132426;0
28.12.2021;1.132978;1.1336;1.129038;1.133003;1.133003;0
29.12.2021;1.131337;1.137001;1.127536;1.131478;1.131478;0
30.12.2021;1.135976;1.135976;1.130071;1.136015;1.136015;0
31.12.2021;1.132323;1.137915;1.130506;1.132503;1.132503;0
03.01.2022;1.137385;1.137592;1.128541;1.137346;1.137346;0
04.01.2022;1.130199;1.1323;1.127345;1.130224;1.130224;0
05.01.2022;1.128541;1.134559;1.127764;1.128363;1.128363;0
06.01.2022;1.131222;1.133067;1.128554;1.13135;1.13135;0
07.01.2022;1.129586;1.135976;1.12905;1.129688;1.129688;0
10.01.2022;1.135344;1.135976;1.128834;1.135396;1.135396;0
11.01.2022;1.133273;1.1369;1.131554;1.133042;1.133042;0
12.01.2022;1.13701;1.1433;1.135576;1.136648;1.136648;0
13.01.2022;1.143981;1.147908;1.143641;1.144165;1.144165;0
14.01.2022;1.145659;1.148369;1.141005;1.145712;1.145712;0
17.01.2022;1.141214;1.143458;1.139315;1.14107;1.14107;0
18.01.2022;1.141292;1.142335;1.132965;1.141057;1.141057;0
19.01.2022;1.133003;1.13568;1.131952;1.132965;1.132965;0
20.01.2022;1.134353;1.136893;1.133016;1.13434;1.13434;0
21.01.2022;1.131542;1.136105;1.130224;1.131375;1.131375;0
24.01.2022;1.134095;1.134095;1.12914;1.134147;1.134147;0
25.01.2022;1.132387;1.132503;1.126684;1.132413;1.132413;0
26.01.2022;1.130352;1.13135;1.127205;1.130454;1.130454;0
27.01.2022;1.124227;1.12448;1.11335;1.124354;1.124354;0
28.01.2022;1.114616;1.117006;1.112335;1.114703;1.114703;0
31.01.2022;1.115138;1.121692;1.114504;1.115237;1.115237;0
01.02.2022;1.122914;1.127904;1.122208;1.122965;1.122965;0
02.02.2022;1.127307;1.132939;1.126697;1.127396;1.127396;0
03.02.2022;1.129995;1.145069;1.127205;1.129995;1.129995;0
04.02.2022;1.143511;1.148369;1.141344;1.143576;1.143576;0
